	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030
0	15.1296833698	15.3948100092	17.0270704327	17.3539806438	19.2141838936	21.3064790929	21.8183848551	21.1996441733	19.6028191774	19.3094651948	19.1257480941	17.7142538249	18.0101981544	16.7117211166	15.5356382262	15.4221774408	16.3553736914
1	15.1296833698	16.7409715103	17.7993922748	17.3405346795	16.046028707	17.3254557104	16.7736159778	17.0944793163	16.6845701509	15.4925732454	14.419420539	15.5924732298	14.6122935189	13.7312568895	12.9401501657	12.4441914927	13.8962235804
2	15.1296833698	13.9421087419	14.1915878917	14.5454677149	14.92570948	15.8598142195	15.4386280605	15.0453598494	13.9355651085	12.9422305733	13.2161421468	14.6482843973	13.6668122073	15.1768692932	14.2074419819	15.8057627192	16.0747848985
3	15.1296833698	15.5310850424	16.4729915142	15.2095067207	14.0783439845	13.0639372281	14.1268155461	14.4827987653	14.1659033979	14.5977126378	15.128871605	15.2346225737	14.9184126071	15.4958339955	17.7965187433	18.919492313	20.3154250395
4	15.1296833698	14.883067276	14.4564007901	14.6903352856	14.9549547531	15.2529963726	15.6315018348	17.2970513961	16.7890898842	17.2172436999	17.678653033	17.9957863823	19.0944656375	19.5132556643	19.1091203383	17.6642796704	18.1061940424
5	15.1296833698	13.9421182959	14.1915843129	15.7128999425	16.0227310203	17.1706607408	17.6220643742	18.1523058116	17.4921320765	17.9681282224	18.2924138078	17.7845315844	19.7112865379	21.3927080777	22.1343026039	20.762664319	19.5529804925
6	15.1296833698	16.0831916568	17.7962567302	18.2269976417	17.7508532682	18.1950208055	19.4307094617	20.9692405137	23.2263065531	25.4412222254	25.7953361913	24.1174588661	24.7712887939	24.3407205757	27.6752297999	30.5929470995	29.1133446301
7	15.1296833698	13.9421198048	13.7134948975	14.5363201111	14.3165484315	14.1700512967	14.5673480848	16.1944747643	17.1329067398	19.0726432885	21.2619336082	19.7496694568	22.0610651494	21.4614942736	22.897024878	25.611167243	26.0015772513
8	15.1296833698	13.9421459187	14.3046061883	15.2103491997	15.4940929565	16.6798488299	16.1610615411	16.540583171	16.8599047048	16.5093137434	16.9362557821	18.79524241	19.12005325	19.4882985622	18.9288664907	21.021510773	23.3790241423
9	15.1296833698	15.3948802859	14.9613648838	13.797105169	13.4272336539	12.419368547	12.1525170694	12.3649845818	12.6098343524	12.2621595608	12.0211116038	11.8685556561	12.5776461465	12.4327382568	12.6423019029	12.969518719	12.0198100241
10	15.1296833698	14.7120906622	15.6672458276	15.3127916782	14.9101219869	15.9279889504	17.6566791876	16.3748443483	16.7363713786	15.5462476075	16.84460016	15.75936329	17.4862952088	16.5823863232	16.9830755112	16.3186292763	15.9567549662
11	15.1296833698	16.7411124385	16.4882338705	17.4629510109	17.9119071109	19.8682083667	20.1926812925	20.7124224528	22.9949810887	23.3864590873	21.6553388249	20.0952516826	22.3692535582	21.7449915042	23.3272998381	22.7468194308	22.2087686725
12	15.1296833698	16.0832273543	15.7437909619	15.3142156193	15.565357762	14.3800036109	13.3175232804	12.364142152	12.6242032495	12.3334794897	13.7175136251	12.7599848015	13.0571349128	13.9965722862	13.7289950225	13.3590576469	14.3628606001
13	15.1296833698	13.9421273171	13.5621021163	15.0252168803	16.042088914	17.3110638426	18.9851901671	21.0366947222	21.6749522095	24.5886702187	23.3875460674	23.2211493402	21.5348993247	20.3135132289	22.5533887483	22.1804099714	21.8547929989
14	15.1296833698	16.7410682241	18.5531777561	18.8646858131	18.5813787316	18.045250223	16.6694429878	16.4836880986	18.3490274074	17.8207208785	17.6876548163	17.1725469252	18.2054804363	16.9187061301	18.8868371318	18.3817774502	18.2093726551
15	15.1296833698	16.0832200145	15.6654766165	15.9643514081	16.3205965844	15.9552226022	15.5200469229	15.7858532382	14.5872246518	14.2024560006	13.9108077976	14.8360871838	15.1267789913	15.460280064	14.3509432033	14.0543296994	15.626879559
16	15.1296833698	14.712047211	14.4566443696	16.0181560925	16.4519453434	18.2505388615	19.3438795566	21.4877197873	22.9231778523	24.6898753376	24.0339366591	22.3613689591	21.9562079128	24.5009271948	24.2628629225	22.5901221483	24.095074906
17	15.1296833698	13.9420890647	14.3045574882	14.0896892185	14.4879036361	15.3243339164	15.7465896829	16.1950798703	16.4254560376	16.6876194681	17.1509280519	16.6603266438	17.1312847944	17.3947079523	18.4476845144	18.9393427863	20.1839185659
18	15.1296833698	15.5310526702	16.4730114983	17.6085211076	17.1806306402	16.7865305383	17.1245287648	18.9395137004	20.706601178	21.3462701273	24.1574545893	23.8506432827	23.752203838	26.2241103521	26.2791877298	29.0752968224	27.4430500019
19	15.1296833698	15.3947992617	14.9613676273	15.9639158618	17.2324629103	17.7072124851	16.5034273371	18.2409326767	17.8511211202	17.4957805694	18.1141833061	18.2244732126	18.9015942694	19.0160045399	19.2114761747	19.8667183895	21.9471424665
20	15.1296833698	14.8830896072	14.4564605465	15.3242402586	14.1591011759	13.1145442311	12.8805786998	11.9454562895	12.7696644329	11.9014324406	12.9112079819	12.1174143185	12.443962393	11.951495405	13.3208864325	13.021351036	12.1915634327
21	15.1296833698	15.5310170169	16.4729458062	16.7693244902	17.9758766359	18.4161924032	17.1093356705	17.6314882377	19.6153665027	19.6975875807	19.8670149571	19.4398548726	20.1702784011	21.0633149794	19.8983632311	23.3977227928	22.5497729617
22	15.1296833698	16.7411013009	16.2820404376	16.7035362065	17.1546449243	16.6908564567	16.4355695422	16.6730209904	16.9433758845	16.7181438932	17.6672868335	19.6089479482	20.8382754584	22.3326691029	20.7921955809	21.2071141114	23.0086058475
23	15.1296833698	16.7410011842	15.443222676	16.4635192219	16.8481083096	18.6879699989	18.3666869828	19.5516728314	20.989967571	23.3357704342	25.3570001409	23.7661891692	24.4296348785	23.3835056316	23.9722307338	24.6899389222	24.1446123947
24	15.1296833698	15.5311105916	15.9584421207	15.7319505222	15.5534450564	15.7938436247	15.3198131224	16.982839467	16.4884370982	17.439512663	18.5517259425	19.9074889374	18.5249609638	18.0279221653	17.578291706	19.5560335847	19.2171458109
25	15.1296833698	14.7121405455	14.3214110602	14.0551747827	12.9648502984	13.1745167764	12.1837110783	13.0415054884	14.1346904657	15.611844313	16.1994774836	16.9282653009	16.6605111863	15.3954607256	14.6314580172	16.1586193482	15.371040296
26	15.1296833698	13.9421175151	14.8616263945	13.7695239772	14.0788555273	14.3516140091	14.675854488	14.2941382146	15.4226341397	14.9353742601	15.2881535811	15.0050479657	15.4146653818	15.8499682292	15.4276287358	17.1401504936	16.9520966259
27	15.1296833698	15.5310664028	14.3046672867	15.8415739109	16.26895813	15.8199851277	15.6007758542	15.8328025029	14.6350849851	15.5589814832	14.448162082	14.2090423631	14.444812855	14.8135018628	16.4871673387	18.3741721844	18.8548373281
28	15.1296833698	14.8831686772	15.1282240828	15.5355561044	15.8051063872	16.2337272819	15.7482692967	14.5062813312	14.763495258	14.5629972344	15.3903521624	14.9450854487	14.7452219703	14.6167569543	15.0297582675	14.581399821	14.9962456286
29	15.1296833698	14.8831247292	14.4565556811	16.0172061335	16.4497643708	15.9897891465	17.7356084303	18.8206170946	20.9112499253	20.3863064755	20.0770423336	20.6071102722	20.8810794702	21.2019132209	23.5895476039	23.9930148287	25.6352591432
30	15.1296833698	14.7120475432	14.4565982116	14.2688402017	13.1606396382	13.3682887638	13.2331468887	13.4486280036	14.9444679204	14.4952996733	14.3969854501	13.3225362102	13.6876985826	14.0708865174	14.4704927127	13.4061402876	13.0095156973
31	15.1296833698	16.0831905231	16.4751802451	16.0399703147	16.3215634197	15.0870909187	13.9834382564	12.9971156293	12.1138556308	13.2887520825	12.5028938071	12.6291380833	14.171495598	16.4537125401	18.1639806775	20.081931396	19.2925097674
32	15.1296833698	16.0832092223	16.4752038985	17.6131124628	17.1849756399	15.9323569891	16.2672060495	17.6432917013	19.4906418422	21.5454613705	20.4532351289	22.6977498586	25.2279111154	28.0841851327	28.5883586549	31.2642189522	30.1015607746
33	15.1296833698	16.0832159429	15.7437200976	16.0120147474	17.7370664655	18.9096140975	19.3156557592	18.8108689502	20.8567909967	21.354201112	21.7403253974	20.2051993855	18.8318322006	19.3669118028	20.0041373827	19.5389919466	19.7396888092
34	15.1296833698	15.5309551051	16.4728428817	16.0379614594	16.3180967044	16.6494538938	16.2348032883	16.6461443638	18.428841863	17.914317331	17.4321239479	17.8772240974	18.1656084205	18.5006975358	19.8010030096	21.4784505823	22.1450220437
