	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030
0	806.562738869	815.983251575	846.616529103	856.091819571	888.006647806	921.189712296	933.802325872	923.763141615	890.966605055	884.622962796	878.698007528	847.563863227	855.458459782	825.09234991	795.883632668	790.273955809	804.451288452
1	806.562738869	837.10939176	853.941915928	845.528490867	815.837587241	832.198329497	826.200097682	834.423076632	828.449596102	799.278886784	771.25912476	786.26604271	758.813334447	732.474983393	707.085107518	701.705901781	727.897693104
2	806.562738869	778.644355627	787.456598924	798.790920673	810.199890383	826.017158725	817.275299941	808.500277258	779.740315289	752.122313794	759.37557372	786.975318567	759.106687889	786.864537837	759.116548928	786.902789532	796.110526358
3	806.562738869	818.719458362	835.20968322	805.97996908	777.774206249	750.601544247	765.900099224	773.778909117	765.526005795	773.242615928	781.074475131	790.816103184	781.802027803	789.294746189	805.362010808	813.144253151	820.949658538
4	806.562738869	801.623898753	793.754880141	802.404411322	811.046477476	819.751163072	831.058876362	861.484393061	851.985231701	863.289781641	874.692697709	883.058651439	899.019818772	907.476324501	899.838155182	866.718542498	877.054087453
5	806.562738869	778.645976595	787.456738593	816.950404376	825.855376473	842.27874401	851.309310444	860.482703626	853.705497521	862.520810916	873.563510152	863.360649852	894.557635695	911.585485181	920.444343661	887.127873187	855.106660293
6	806.562738869	823.16112432	854.147029272	866.399122862	857.575440099	869.553224201	886.745720932	904.622108791	937.980501	957.260707663	969.499050111	935.167694973	943.892312056	933.27740374	952.760429692	987.235258288	952.2047015
7	806.562738869	778.665050327	773.791733546	789.048804785	783.994900311	779.161906839	790.032537363	819.635325001	835.215272425	866.495710033	899.126182218	867.71203407	900.558096244	890.098262242	906.743281962	940.853539861	948.435016365
8	806.562738869	778.647816284	790.101182363	805.954239245	814.645073583	831.068230527	824.746178464	835.961901814	844.427170572	837.971904252	849.007983263	879.926913072	888.179318401	896.438693217	885.48859592	917.328034328	950.383880543
9	806.562738869	815.984077039	807.961208982	779.561458517	771.574442928	744.325989655	738.974970705	746.513039237	754.05940484	745.685367604	740.004438651	734.546084605	748.07153963	742.50927084	749.128795381	758.208327055	730.631358197
10	806.562738869	798.949794676	815.02501745	809.500043832	801.369791883	817.36856508	847.676108102	817.850345139	828.728192185	799.510905189	815.514776023	786.96920012	803.241314198	796.316107569	803.376457807	796.489261389	786.83408356
11	806.562738869	837.161920997	832.065530305	848.729008456	860.72702685	892.915785037	902.176533996	914.462170635	948.428548059	957.793064038	923.77719704	891.067389809	924.215213113	913.40247559	930.780435585	919.695007105	908.626458998
12	806.562738869	823.176505728	817.746498645	809.503996779	818.16072011	789.250466313	761.515927478	734.805573255	742.242800758	736.794964856	764.13680101	737.372566475	746.748597461	761.012694696	755.255604118	746.131886614	760.171887739
13	806.562738869	778.64838612	771.120752467	800.074440322	816.103789256	832.707837821	850.076802353	881.779840419	890.786257078	909.880667877	878.279452714	888.88934425	880.904863906	850.083641033	881.542468524	871.392648234	861.2271505
14	806.562738869	837.132336656	868.97252106	878.552353118	872.75482159	863.65163123	833.2819346	827.790550548	859.065685421	849.682200158	844.097183155	834.560595017	850.278476257	820.363779526	850.957372598	840.876669717	834.626258698
15	806.562738869	823.14454857	815.175308332	824.18842766	835.713901735	829.548694695	820.794971687	829.195676665	799.539709878	790.765423426	784.606315003	799.470876878	806.980019383	816.965063422	787.36149273	780.802069944	808.922021802
16	806.562738869	798.93294338	793.858314967	823.718766634	835.464745705	866.819048639	883.707394195	916.872720827	934.942450539	953.746031745	946.433769674	913.230288568	906.474957855	940.47919378	933.848382303	901.119214947	918.11130025
17	806.562738869	778.662829196	790.117349276	785.012665467	796.397597332	811.75151661	823.09844913	834.558172502	842.59221454	850.656674059	862.062829372	852.074606157	863.243631318	870.903925134	886.185001358	897.198582044	912.777022145
18	806.562738869	818.725037058	835.216578711	852.238199051	843.590002438	834.941481067	843.603591151	874.550043431	892.33574694	901.364998841	920.27212427	910.239233045	921.135579403	954.329126866	965.499746847	1000.15173771	990.436234752
19	806.562738869	815.98384045	808.003802635	824.272370877	841.085626912	850.231213449	820.136710226	850.309930997	841.228862451	832.196787482	840.587734448	850.985340671	859.320970593	869.637370366	880.019966582	888.083414216	919.39936327
20	806.562738869	801.623863269	793.821581544	809.517477147	781.086946127	753.750156948	748.679735512	722.565467575	736.727794722	711.134783263	725.334027953	700.265898326	706.691501694	701.24199834	727.278119101	721.939398796	696.732974117
21	806.562738869	818.721729506	835.212283353	844.437511945	861.457068409	870.78166801	839.848653774	848.81582298	866.291906207	877.309595971	888.369608185	878.156910595	886.890912181	895.753497984	863.342510399	881.194936759	849.462653621
22	806.562738869	837.093206522	829.05902059	841.014545798	853.033320031	844.307791764	838.319990581	846.772396006	855.267141095	848.998571528	864.757421072	896.381711206	913.184293216	930.672305847	897.382602815	907.965624125	925.421026718
23	806.562738869	837.144510995	808.048622347	824.162011879	835.811306952	867.146917204	861.389805789	878.115653502	895.393481943	928.995701894	947.513600942	914.369317767	922.705986805	915.494326523	923.540323041	931.595540066	920.281750948
24	806.562738869	818.722820707	830.893731622	825.505553745	820.309972111	828.897667511	819.949758817	850.263214217	840.968221514	856.800417809	873.190578682	890.237896064	858.570550787	851.452777586	841.539428028	872.238515627	865.040769934
25	806.562738869	798.916427834	791.173780804	785.774386769	758.123921796	765.956459639	738.88379024	753.261220328	768.177954574	783.765071134	791.530044217	799.392352287	790.303587486	783.189445336	776.441359732	791.585390125	784.52516205
