hhkey	income	kwhpc	wgt
1	18.709272596	51.0049289645	101.73450763
2	13.6330154254	66.802184145	143.742106041
3	9.21071736233	40.3966571867	114.716599045
4	56.4052752893	116.014926687	113.544390298
5	14.2478244487	38.2536991791	150.369788037
6	23.3721948606	45.1703824335	107.230156606
7	2.30267881547	29.4089411203	100.976055211
8	36.8612881997	145.991899708	69.4261676696
9	16.8066843678	33.3699292931	204.958542605
10	23.1672550188	11.626884563	204.010605521
11	35.9217933022	71.8406923332	166.160937959
12	18.9901958218	45.567085352	193.05150295
13	31.2116636691	52.4281421857	200.754990214
14	51.8897198311	97.3279167675	95.9812042618
15	12.0787010024	92.4197962022	61.4150775045
16	23.6393076994	114.05017361	52.0804146303
17	127.331243069	160.649554884	94.5201846713
18	23.3146218252	87.0111950149	130.030412467
19	19.8398864461	107.079926719	59.5343077655
20	59.5818218332	100.959547023	135.929245812
21	10.6383774088	40.0439112226	159.566136353
22	46.9383862753	29.7191937246	60.9361540703
23	19.8536968331	97.3279167675	88.5159628253
24	2.0724108289	97.7129698652	29.9874410806
25	7.48370798817	38.0167147139	196.67394011
26	17.2700937416	49.1154576977	30.9241211978
27	6.90803749664	44.1134116804	64.8405063268
28	22.4459432315	22.0567058402	127.992056608
29	31.0775296289	72.9959400313	134.912922083
30	9.81459465038	68.5511896134	61.1327628205
31	17.24937291	109.080434726	36.9279434558
32	30.9134643317	41.437950778	218.164471843
33	22.4511208139	24.5577337603	86.091056878
34	111.607986187	57.0250671595	150.418537782
35	55.8330631707	66.7398487634	115.003160779
36	20.4287970555	42.2317986401	171.9105537
37	31.0861729358	61.6132007424	114.52239924
38	16.4065927303	53.5399830053	181.336950579
39	21.0349732741	13.9522614756	224.442685524
40	33.590337421	52.6387819466	91.1974385678
41	25.9051353613	156.752758599	162.541354999
42	12.0821562247	50.6684789976	118.975180422
43	27.2004026316	57.0250671595	169.83006984
44	8.04556074117	52.926569846	110.562995163
45	25.8844145297	105.277544248	33.1186246605
46	14.2478244487	72.9959400313	188.815983513
47	23.3042666605	145.991899708	79.221178841
48	17.0110465889	100.109778057	80.2894832704
49	5.1438976105	17.4403219331	172.741582729
50	12.931846849	113.233802106	35.6144175325
51	32.7924541268	92.4197962022	38.1363662983
52	53.5372937496	99.7082226832	22.5424758847
53	20.0356158626	40.3966571867	62.8713819557
54	51.2880280499	42.4137755199	112.324664822
55	9.7576034366	44.1134116804	43.1619056119
56	4.23808115332	30.6029593433	121.733936498
57	100.53669778	153.210368328	68.8636161595
58	29.903457694	67.3063384878	127.009983285
59	4.31752291029	43.4611985278	72.2774455108
60	48.6964852987	72.9959400313	92.6968186135
61	10.577937274	16.5008218431	150.952615788
62	20.074757545	87.8677024105	30.664994039
63	43.1752396051	60.8010333898	164.110137785
64	27.8048564901	30.8065954598	207.339745034
65	37.1099801877	240.974283212	65.2234144548
66	16.1187590599	51.0049289645	110.618241069
67	20.7033874574	52.6387819466	57.7918297511
68	16.6449190514	60.5949808686	63.791153789
69	110.687468757	40.3966571867	103.12723191
70	23.0267881547	61.6132007424	106.406833918
71	28.7696721809	51.0049289645	84.3316134955
72	49.6515234454	72.9959400313	118.136958807
73	37.973481199	60.5949808686	58.1964868872
74	18.1128739213	76.5073983582	57.3704241662
75	23.3128994651	24.3910116626	122.556402927
76	19.8869467839	30.2974904343	119.942069398
77	25.5514529255	58.3967500605	155.919838076
78	26.8878152865	78.6422231013	113.979541713
79	267.686468748	49.1154576977	31.050037109
80	37.3873326671	16.7834724269	140.309187797
81	18.1335947529	57.0250671595	140.015090973
82	5.75324444193	11.0005544439	225.689514489
83	11.5133993285	23.253769126	120.162756184
84	21.2422130967	50.9642528197	187.048434201
85	15.1389672384	62.5840355105	59.5313850641
86	9.78638575343	51.0049289645	107.2900149
87	51.6306726784	76.0334196051	102.092196042
88	21.5668989709	121.189961737	27.9433654033
89	16.8331604025	26.3193909733	142.031184068
90	17.2597280747	34.880653689	66.5498185309
91	24.1677676718	63.7053062018	154.87851155
92	13.6001960647	36.2646445372	159.373763237
93	17.2597280747	41.4199849077	75.1275474213
94	6.25436404891	32.2865450762	158.716155432
95	10.8801589522	66.0032971951	41.562000623
96	69.7780883205	145.991899708	73.9101281387
97	41.1788142606	145.991899708	78.3786302576
98	59.7614408818	48.6639632951	242.672578557
99	31.0809848512	66.802184145	170.369399575
100	24.8706586082	52.6387819466	79.3528602372
101	86.350468708	257.712207394	57.5653318128
102	46.6292541525	52.6387819466	58.8642213957
103	20.4604506725	117.763087396	81.2943787807
104	14.8029389931	32.5857568723	207.663868047
105	8.75421108159	76.5073983582	52.4773197577
106	94.9855208299	97.3279167675	93.7892353292
107	22.4303999823	267.208775871	29.2485113937
108	31.6042777434	105.277544248	28.5258620668
109	12.6509236232	40.3966571867	83.1037364222
110	13.1252762847	34.2755898953	119.542709658
111	18.7035068907	49.7206786559	287.936089113
112	23.9121757413	46.2098981011	147.671997684
113	23.8191998051	58.0074633433	250.970995383
114	24.1574020049	66.0032971951	30.5374455251
115	12.0821562247	51.0049289645	110.581924221
116	6.35539516905	21.0555088495	195.278350213
117	15.6513063408	43.0487202197	127.432062461
118	21.6063242126	58.0074633433	248.124558266
119	25.366309722	44.1134116804	71.2556302998
120	17.263183297	61.6132007424	111.146553589
121	11.225565658	36.2646445372	186.81359058
122	29.9025860118	22.1873783238	268.417695787
123	11.2151999911	92.4197962022	92.0662800465
124	26.9689762528	42.1628525255	220.611891724
125	22.4511208139	40.3966571867	136.126642322
126	39.78131862	33.7854428412	223.720230283
127	8.16875464434	36.2646445372	176.506729917
128	16.3858613965	24.5577337603	85.2921547293
129	24.0629977701	76.0334196051	136.126642322
130	25.5493734908	62.5840355105	87.159327057
131	19.5583855995	57.0250671595	185.200510602
132	22.4511208139	101.13675003	126.550571166
133	15.9748369735	30.2974904343	174.134318426
134	8.00814246903	38.0069606903	93.3183036565
135	15.1113359622	17.4403219331	180.494162243
136	41.0164713235	57.0250671595	171.676509255
137	9.49855208299	30.2974904343	187.400985052
138	14.2478244487	36.4635558951	182.79407704
139	0.0	21.0555088495	218.64249335
140	26.7271947094	35.0925212977	136.690061509
141	12.5968058101	44.1134116804	55.2724611826
142	21.9761905317	30.2974904343	120.102589636
143	68.3780616507	29.4089411203	88.7896235733
144	11.225565658	38.2536991791	133.654333812
145	12.0890666693	21.0555088495	161.310281221
146	4.31752291029	25.5024595709	182.141492628
147	6.90803749664	40.5584678927	101.288852757
148	4.86464003286	30.6029593433	157.694808309
149	5.26737822361	38.0167147139	180.816686904
150	35.2309903927	97.3279167675	85.3557234838
151	22.4511208139	29.7191937246	79.9003187349
152	50.9928323405	51.0049289645	128.612559806
153	23.7463775819	46.2098981011	157.365661903
154	24.9639181037	14.6332553826	67.4560272032
155	11.225565658	58.3967500605	196.769727081
156	25.8982354189	55.4073628328	115.791490969
157	24.1781333387	45.6200497985	215.690907485
158	24.4659670091	29.4089411203	117.309468985
159	7.33979010274	36.2646445372	196.387378376
160	8.28964541606	97.3279167675	144.879333706
161	22.4264511568	26.4056546545	298.362597863
162	34.5401874832	228.100248992	42.3604460996
163	3.45401874832	48.4081289092	230.127111325
164	5.95818323354	18.465466869	167.730405753
165	1.72700937416	13.9522614756	226.052226294
166	5.92249047211	58.9611377093	121.020728867
167	12.0683458377	4.3518661809	38.8602258063
168	6.03417081843	2.17593309045	81.5982940544
169	34.0209379362	45.7007930756	117.299079695
170	22.6238189157	23.253769126	120.729714579
171	32.8131749584	69.7613073779	35.5940842079
172	12.0683458377	49.1154576977	30.1920301755
173	24.4371804914	19.8121802553	158.076700342
174	25.9051353613	76.5073983582	67.3763265072
